Indicator,Country,2016,2017,2018,2019,2020
CO2 emissions (kt),Ecuador,39791.7,38549.3,40273.2,39631.4,34431
CO2 emissions (kt),"Egypt, Arab Rep.",235425.8,244540.5,237983,217908.3,210752.3
CO2 emissions (kt),El Salvador,7125.1,6344.9,6844.9,7912.7,6376.3
CO2 emissions (kt),Equatorial Guinea,5830.1,5369.3,5068.5,4876.5,4350.4
CO2 emissions (kt),Eritrea,580.5,581.47,677.7,697.2,706.4
CO2 emissions (kt),Estonia,15907.2,16773.5,15716.9,10060.7,7097.52
CO2 emissions (kt),Eswatini,1116,1105.8,1105.8,1169.5,1147.7
CO2 emissions (kt),Ethiopia,15247.2,15882.4,17028.4,17708,18098
CO2 emissions (kt),Faroe Islands,..,..,..,..,..
CO2 emissions (kt),Fiji,1198.6,1331.1,1387.2,1393.5,1028.2
CO2 emissions (kt),Finland,45700.3,43015.4,44395.5,40987.1,36329.9
CO2 emissions (kt),France,313835.2,317721.2,306948.4,300561.6,267154.7
CO2 emissions (kt),French Polynesia,..,..,..,..,..
CO2 emissions (kt),Gabon,6383.7,5344.7,5120.4,5274.5,5349.2
CO2 emissions (kt),"Gambia, The",593.2,602.3,597.8,606.9,611.4
CO2 emissions (kt),Georgia,9813.6,9907.1,9725.2,10549.6,10255
CO2 emissions (kt),Germany,747147.2,732204.2,707770.2,658693.5,603350.5
CO2 emissions (kt),Ghana,14545.3,15135,16774.9,18039.1,19401.16
CO2 emissions (kt),Gibraltar,..,..,..,..,..
CO2 emissions (kt),Greece,66848.6,66795.5,65021.2,59990.3,51002.2
CO2 emissions (kt),Greenland,..,..,..,..,..
CO2 emissions (kt),Grenada,277.4,287.5,320.3,346.2,324.5
CO2 emissions (kt),Guam,..,..,..,..,..
CO2 emissions (kt),Guatemala,17451.9,16530.1,18075.7,19017.8,16865.2
CO2 emissions (kt),Guinea,2806.5,3321.6,3735,4517,4537.9
CO2 emissions (kt),Guinea-Bissau,305,306.6,317.8,325.3,329
CO2 emissions (kt),Guyana,2478.6,2473.8,2587.1,2795.9,2768.5
CO2 emissions (kt),Haiti,3364.54,3326.24,3289.74,3317.34,3209.04
CO2 emissions (kt),Honduras,10394.7,9377,9031.3,10196.4,8835.4
CO2 emissions (kt),"Hong Kong SAR, China",..,..,..,..,..
CO2 emissions (kt),Hungary,44248.4,49449.8,49202.9,47261.8,44769.3
CO2 emissions (kt),Iceland,1633,1671,1699.3,1638.2,1446.6
CO2 emissions (kt),India,2195248.5,2308804.4,2458175.9,2423951.4,2200836.3
CO2 emissions (kt),Indonesia,483978.7,515395.7,568007.6,605290.6,563197
CO2 emissions (kt),"Iran, Islamic Rep.",607216.3,626427.9,637433.7,625251.5,616561.3
CO2 emissions (kt),Iraq,143281.1,156456.4,168154.3,180687.6,163511.5
